car_name,brand,car_model,model_year,transmission,body_type,fuel_type,engine_capacity,kilometers_run,price
Honda CR-V Hard Jeep Sunroof 2002,Honda,CR-V,2002,Automatic,Hatchback,"CNG, Octane",2000,82000 km,Rs 925000
Suzuki Alto ZEN 2003,Suzuki,Alto,2003,Manual,Hatchback,"CNG, Octane",1000,200 km,Rs 225000
Toyota ist G Edition 2003,Toyota,ist,2003,Automatic,Hatchback,"CNG, Octane",1500,63256 km,Rs 885000
Toyota Fielder very nice condition 2004,Toyota,Fielder,2004,Automatic,Hatchback,"CNG, Octane",150,63000 km,Rs 990000
Toyota Probox very nice condition 2004,Toyota,Probox,2004,Automatic,Hatchback,"CNG, Octane",1500,75000 km,Rs 595000
Toyota Probox DX 2004,Toyota,Probox,2004,Automatic,Hatchback,"CNG, Octane",1500,55000 km,Rs 635000
Toyota Raum G PKG 2004,Toyota,Raum,2004,Automatic,Hatchback,"CNG, Octane",1500,57580 km,Rs 890000
Toyota ist 2004,Toyota,ist,2005,Automatic,Hatchback,"CNG, Octane",1300,73000 km,Rs 700000
Toyota Succeed All Auto 1500cc 2005,Toyota,Succeed,2005,Automatic,Hatchback,"CNG, Octane",1500,64512 km,Rs 680000
Toyota Rush Hard Jeep 2006,Toyota,Rush,2006,Automatic,Hatchback,"CNG, Octane",1500,79000 km,Rs 1035000
Toyota Axio X Fielder 2009,Toyota,Axio,2009,Automatic,Hatchback,"CNG, Octane",1500,73000 km,Rs 1230000
Toyota Probox 2005,Toyota,Probox,2010,Automatic,Hatchback,"CNG, Octane",1300,87000 km,Rs 620000
Toyota Fielder X Bank Loan Car 2011,Toyota,Fielder,2011,Automatic,Hatchback,"CNG, Octane",1500,65000 km,Rs 970000
Toyota LiteAce School bus 9 seats 1989,Toyota,LiteAce,1989,Manual,MPV,"CNG, Octane",1300,274000 km,Rs 125000
Toyota TownAce Navan 1995,Toyota,TownAce,1995,Manual,MPV,"CNG, Octane",1500,90000 km,Rs 320000
Toyota Noah lucida dual ac g 1997,Toyota,Noah,1997,Automatic,MPV,"CNG, Octane",2000,79800 km,Rs 535000
Toyota Hiace Super GL 1998,Toyota,Hiace,1998,Manual,MPV,"CNG, Octane",2000,78643 km,Rs 520000
Toyota Noah Regius 1998,Toyota,Noah,1998,Automatic,MPV,"CNG, Octane",2500,100000 km,Rs 850000
Toyota Noah package SR40 1998,Toyota,Noah,1998,Automatic,MPV,"CNG, Octane",2000,86000 km,Rs 980000
Toyota Noah Super Extra Limo 2000,Toyota,Noah,2000,Automatic,MPV,"CNG, Octane",2000,65800 km,Rs 800000
Toyota Noah S 2002,Toyota,Noah,2002,Automatic,MPV,"CNG, Octane",2000,90000 km,Rs 965000
Toyota Noah X (All auto) 2002,Toyota,Noah,2002,Automatic,MPV,"CNG, Octane",2000,142088 km,Rs 1080000
