car_name,brand,car_model,model_year,transmission,body_type,fuel_type,engine_capacity,kilometers_run,price
Toyota Allion g plus red wine 2003,Toyota,Allion,2003,Automatic,Saloon,"CNG, Octane",1500,63200 km,Rs 995000
Toyota Allion A15 2003,Toyota,Allion,2003,Automatic,Saloon,"CNG, Octane",1500,69500 km,Rs 1045000
Toyota Allion Super fresh-A15 2003,Toyota,Allion,2003,Automatic,Saloon,"CNG, Octane",1500,68448 km,Rs 1085000
Toyota Corolla 100 WAGON 2003,Toyota,Corolla,2003,Automatic,Saloon,"CNG, Octane",1500,78500 km,Rs 465000
Toyota Corolla X 2003,Toyota,Corolla,2003,Automatic,Saloon,"CNG, Octane",1500,65732 km,Rs 927000
Toyota Corolla G 2003,Toyota,Corolla,2003,Automatic,Saloon,"CNG, Octane",1500,104500 km,Rs 900000
Toyota Corolla x white 2003,Toyota,Corolla,2003,Automatic,Saloon,"CNG, Octane",1500,92000 km,Rs 840000
Toyota Crown hi great super delax 2003,Toyota,Crown,2003,Automatic,Saloon,"CNG, Octane",1984,62300 km,Rs 1045000
Mitsubishi Lancer GLX 2003,Mitsubishi,Lancer,2003,Automatic,Saloon,"CNG, Octane",1300,57000 km,Rs 620000
Toyota Premio option auto 2003,Toyota,Premio,2003,Automatic,Saloon,"CNG, Octane",1500,82000 km,Rs 1110000
Toyota Probox all option auto 2003,Toyota,Probox,2003,Automatic,Saloon,"CNG, Octane",1500,96000 km,Rs 625000
Toyota X Assista সাদা 2003,Toyota,X Assista,2003,Automatic,Saloon,"CNG, Octane",1331,67000 km,Rs 765000
Toyota Allion white 2004,Toyota,Allion,2004,Automatic,Saloon,"CNG, Octane",1500,76000 km,Rs 1080000
Toyota Allion A15-SILVER 2004,Toyota,Allion,2004,Automatic,Saloon,"CNG, Octane",1500,75000 km,Rs 1095000
Toyota Allion g 2004,Toyota,Allion,2004,Automatic,Saloon,"CNG, Octane",1500,85000 km,Rs 995000
Toyota Allion Octane&CNG 2004,Toyota,Allion,2004,Automatic,Saloon,"CNG, Octane",1500,65000 km,Rs 1195000
Toyota Allion package G 2004,Toyota,Allion,2004,Automatic,Saloon,"CNG, Octane",1500,65000 km,Rs 1195000
Toyota Corolla Sunroof Edition 2004,Toyota,Corolla,2004,Automatic,Saloon,"CNG, Octane",1500,85000 km,Rs 1095000
Toyota Corolla X New Shape 2004,Toyota,Corolla,2004,Automatic,Saloon,"CNG, Octane",1500,69000 km,Rs 985000
Toyota Corolla super fresh 2004,Toyota,Corolla,2004,Automatic,Saloon,"CNG, Octane",1331,68425 km,Rs 955000
Toyota Corolla X 2004,Toyota,Corolla,2004,Automatic,Saloon,"CNG, Octane",1500,78965 km,Rs 990000
Toyota Corolla X 2004,Toyota,Corolla,2004,Automatic,Saloon,"CNG, Octane",1500,68000 km,Rs 960000
Toyota Corolla সাদা 2004,Toyota,Corolla,2004,Automatic,Saloon,"CNG, Octane",1500,68000 km,Rs 965000
Toyota Corolla X-Assista 2004,Toyota,Corolla,2004,Automatic,Saloon,"CNG, Octane",1331,75500 km,Rs 870000
Honda Fit G 2004,Honda,Fit,2004,Automatic,Saloon,"CNG, Octane",1300,46000 km,Rs 655000
Toyota ist g edition 2004,Toyota,ist,2004,Automatic,Saloon,"CNG, Octane",1331,63422 km,Rs 785000
Toyota X-Corolla 2004,Toyota,Other Model,2004,Automatic,Saloon,"CNG, Octane",1500,99000 km,Rs 990000
Toyota Premio F G Package 2004,Toyota,Premio,2004,Automatic,Saloon,"CNG, Octane",1500,69000 km,Rs 1240000
Toyota Premio F 2004,Toyota,Premio,2004,Automatic,Saloon,"CNG, Octane",1500,65700 km,Rs 1255000
"Toyota Premio ""F"" 2004",Toyota,Premio,2004,Automatic,Saloon,"CNG, Octane",1500,82303 km,Rs 1295000
Toyota Probox GL ALL AUTO 2004,Toyota,Probox,2004,Automatic,Saloon,"CNG, Octane",1331,98500 km,Rs 645000
Toyota Probox full fresh 2004,Toyota,Probox,2004,Automatic,Saloon,"CNG, Octane",1500,80000 km,Rs 655000
Toyota Probox সাদা 2004,Toyota,Probox,2004,Automatic,Saloon,"CNG, Octane",1500,68000 km,Rs 625000
Toyota Raum X 2004,Toyota,Raum,2004,Automatic,Saloon,"CNG, Octane",1500,68700 km,Rs 810000
Nissan Sunny G 2004,Nissan,Sunny,2004,Automatic,Saloon,"CNG, Octane",1500,74698 km,Rs 740000
Maruti Suzuki WagonR VXI 2004,Maruti Suzuki,WagonR,2004,Manual,Saloon,"CNG, Octane",1061,73000 km,Rs 215000
Toyota Allion G 2005,Toyota,Allion,2005,Automatic,Saloon,"CNG, Octane",1500,90000 km,Rs 1149999
Toyota Allion G Limited 2005,Toyota,Allion,2005,Automatic,Saloon,"CNG, Octane",1500,59000 km,Rs 1200000
Toyota Allion A 15 2005,Toyota,Allion,2005,Automatic,Saloon,"CNG, Octane",1500,75000 km,Rs 1175000
Toyota Allion A 15 2005,Toyota,Allion,2005,Automatic,Saloon,"CNG, Octane",1500,72700 km,Rs 1165000
Toyota Allion A 15 2005,Toyota,Allion,2005,Automatic,Saloon,"CNG, Octane",1500,75000 km,Rs 1160000
Toyota Corolla x 2005,Toyota,Corolla,2005,Automatic,Saloon,"CNG, Octane",1500,84000 km,Rs 1075000
Toyota Corolla X Super Fresh 2005,Toyota,Corolla,2005,Automatic,Saloon,"CNG, Octane",1500,130000 km,Rs 1000000
Toyota Corolla G 2005,Toyota,Corolla,2005,Automatic,Saloon,"CNG, Octane",1500,69000 km,Rs 975000
Toyota Corolla X New Shape 2005,Toyota,Corolla,2005,Automatic,Saloon,"CNG, Octane",1500,82753 km,Rs 1025000
Toyota Corolla New Shape 2005,Toyota,Corolla,2005,Automatic,Saloon,"CNG, Octane",1500,79231 km,Rs 1085000
Mitsubishi Galant 2005,Mitsubishi,Other Model,2005,Automatic,Saloon,"CNG, Octane",2500,99000 km,Rs 550000
Toyota Premio F 2005,Toyota,Premio,2005,Automatic,Saloon,"CNG, Octane",1500,95000 km,Rs 1200000
Toyota Premio F G Edition 2005,Toyota,Premio,2005,Automatic,Saloon,"CNG, Octane",1500,62365 km,Rs 1445000
Toyota Premio option auto 2005,Toyota,Premio,2005,Automatic,Saloon,"CNG, Octane",1500,95000 km,Rs 1110000
Toyota Premio F 2005,Toyota,Premio,2005,Automatic,Saloon,"CNG, Octane",1500,70000 km,Rs 1450000
Toyota Premio F 2005,Toyota,Premio,2005,Automatic,Saloon,"CNG, Octane",1500,78000 km,Rs 1235000
Toyota Allion silver 2006,Toyota,Allion,2006,Automatic,Saloon,"CNG, Octane",1500,71000 km,Rs 1250000
Toyota Allion A 15 G Grade 2006,Toyota,Allion,2006,Automatic,Saloon,"CNG, Octane",1500,69000 km,Rs 1195000
Toyota Allion A 15 PKG. 2006,Toyota,Allion,2006,Automatic,Saloon,"CNG, Octane",1500,90000 km,Rs 1265000
Toyota Allion A15 2006,Toyota,Allion,2006,Automatic,Saloon,"CNG, Octane",1500,71038 km,Rs 1365000
Toyota Corolla G 2006,Toyota,Corolla,2006,Automatic,Saloon,"CNG, Octane",1500,76000 km,Rs 1090000
Toyota Corolla saloon 2006,Toyota,Corolla,2006,Automatic,Saloon,"CNG, Octane",1500,45000 km,Rs 1110000
Toyota Corolla G 2006,Toyota,Corolla,2006,Automatic,Saloon,"CNG, Octane",1500,70000 km,Rs 1225000
Toyota Corolla X 2006,Toyota,Corolla,2006,Automatic,Saloon,"CNG, Octane",1500,70305 km,Rs 1095000
Toyota ALLION 2006,Toyota,Other Model,2006,Automatic,Saloon,"CNG, Octane",1500,68000 km,Rs 1420000
Toyota Premio G Package 2006,Toyota,Premio,2006,Automatic,Saloon,"CNG, Octane",1500,68000 km,Rs 1280000
Toyota Premio F 2006,Toyota,Premio,2006,Automatic,Saloon,"CNG, Octane",1500,68573 km,Rs 1350000
Toyota Premio F 2006,Toyota,Premio,2006,Automatic,Saloon,"CNG, Octane",1500,96000 km,Rs 1350000
Toyota Premio F_ PRIME SELECTION 2006,Toyota,Premio,2006,Automatic,Saloon,"CNG, Octane",1500,82417 km,Rs 1395000
Toyota Allion G Push Start 2007,Toyota,Allion,2007,Automatic,Saloon,"CNG, Octane",1500,74000 km,Rs 1390000
Toyota Allion A15 2007,Toyota,Allion,2007,Automatic,Saloon,"CNG, Octane",1500,65000 km,Rs 1370000
Toyota Allion A15 2007,Toyota,Allion,2007,Automatic,Saloon,"CNG, Octane",1500,76585 km,Rs 1355000
Toyota Allion A15 Standard package 2007,Toyota,Allion,2007,Automatic,Saloon,"CNG, Octane",1500,79832 km,Rs 1490000
Toyota Allion A15 White 2007,Toyota,Allion,2007,Automatic,Saloon,"CNG, Octane",1500,77000 km,Rs 1375000
Toyota Axio -X-ASH 2007,Toyota,Axio,2007,Automatic,Saloon,"CNG, Octane",1500,66000 km,Rs 1065000
Toyota Axio -X 2007,Toyota,Axio,2007,Automatic,Saloon,"CNG, Octane",1500,75000 km,Rs 1065000
Toyota Axio model 2007,Toyota,Axio,2007,Automatic,Saloon,"CNG, Octane",1500,77275 km,Rs 1030000
Toyota Axio G (Push Start) 2007,Toyota,Axio,2007,Automatic,Saloon,"CNG, Octane",1500,85000 km,Rs 1090000
Toyota Axio X 2007,Toyota,Axio,2007,Automatic,Saloon,"CNG, Octane",1500,75000 km,Rs 1090000
Toyota Axio 2007,Toyota,Axio,2007,Automatic,Saloon,"CNG, Octane",1500,76000 km,Rs 955000
Toyota Corolla 2002,Toyota,Corolla,2007,Automatic,Saloon,"CNG, Octane",1500,90000 km,Rs 860000
Toyota Axio 2007,Toyota,Other Model,2007,Automatic,Saloon,"CNG, Octane",1500,99000 km,Rs 1150000
Toyota Allion A15 - Push Start 2008,Toyota,Allion,2008,Automatic,Saloon,"CNG, Octane",1500,65825 km,Rs 1540000
Toyota Allion G PKG Push Start 2008,Toyota,Allion,2008,Automatic,Saloon,"CNG, Octane",1500,65000 km,Rs 1550000
Toyota Allion 2006,Toyota,Allion,2008,Automatic,Saloon,"CNG, Octane",1500,78631 km,Rs 1210000
Toyota Axio Fresh Condition 2008,Toyota,Axio,2008,Automatic,Saloon,"CNG, Octane",1500,70000 km,Rs 1120000
Toyota Axio G super fresh push 2008,Toyota,Axio,2008,Automatic,Saloon,"CNG, Octane",1500,54000 km,Rs 1095000
Toyota Axio G Limited Edition 2008,Toyota,Axio,2008,Automatic,Saloon,"CNG, Octane",1500,65000 km,Rs 1140000
Toyota Axio X 2008,Toyota,Axio,2008,Automatic,Saloon,"CNG, Octane",1500,68352 km,Rs 1130000
Toyota Axio Push start 2008,Toyota,Axio,2008,Automatic,Saloon,"CNG, Octane",1500,69536 km,Rs 1175000
Toyota Axio X 2008,Toyota,Axio,2008,Automatic,Saloon,"CNG, Octane",1496,85000 km,Rs 1340000
Toyota Corolla 2003,Toyota,Corolla,2008,Automatic,Saloon,"CNG, Octane",1500,49560 km,Rs 880000
Toyota Corolla 2005,Toyota,Corolla,2008,Automatic,Saloon,"CNG, Octane",1500,150000 km,Rs 900000
Mitsubishi Lancer glx 2008,Mitsubishi,Lancer,2008,Automatic,Saloon,"CNG, Octane",1300,100000 km,Rs 650000
Toyota Premio G superior 2008,Toyota,Premio,2008,Automatic,Saloon,"CNG, Octane",1500,79000 km,Rs 1620000
Toyota Premio G superior 2008,Toyota,Premio,2008,Automatic,Saloon,"CNG, Octane",1500,72000 km,Rs 1585000
Toyota Premio 2003,Toyota,Premio,2008,Automatic,Saloon,"CNG, Octane",1500,86000 km,Rs 1035000
Toyota Premio 2005,Toyota,Premio,2008,Automatic,Saloon,"CNG, Octane",1500,110000 km,Rs 1195000
Toyota Allion G PUSH HID 2009,Toyota,Allion,2009,Automatic,Saloon,"CNG, Octane",1500,89600 km,Rs 1585000
Toyota Allion g edition 2009,Toyota,Allion,2009,Automatic,Saloon,"CNG, Octane",1500,84000 km,Rs 1565000
Toyota Allion A15 2009,Toyota,Allion,2009,Automatic,Saloon,"CNG, Octane",1500,54326 km,Rs 1656000
Toyota Allion A15 G Grad Push 2009,Toyota,Allion,2009,Automatic,Saloon,"CNG, Octane",1500,62000 km,Rs 1585000
Toyota Allion G-Edition 2009,Toyota,Allion,2009,Automatic,Saloon,"CNG, Octane",1500,59280 km,Rs 1625000
Toyota Axio G Limited 2009,Toyota,Axio,2009,Automatic,Saloon,"CNG, Octane",1500,58000 km,Rs 1210000
Toyota Axio X 2009,Toyota,Axio,2009,Automatic,Saloon,"CNG, Octane",1500,100000 km,Rs 1090000
Toyota Axio x 2009,Toyota,Axio,2009,Automatic,Saloon,"CNG, Octane",1500,78000 km,Rs 1199000
Toyota Axio X 2009,Toyota,Axio,2009,Automatic,Saloon,"CNG, Octane",1500,70000 km,Rs 1150000
Toyota Fielder 2004,Toyota,Fielder,2009,Automatic,Saloon,"CNG, Octane",1500,69000 km,Rs 915000
Toyota Hiace 2005,Toyota,Hiace,2009,Automatic,Saloon,"CNG, Octane",2000,81000 km,Rs 1225000
Toyota Premio F- 2009,Toyota,Premio,2009,Automatic,Saloon,"CNG, Octane",1500,65000 km,Rs 1695000
Toyota Premio g superior 2009,Toyota,Premio,2009,Automatic,Saloon,"CNG, Octane",1500,52342 km,Rs 1745000
Toyota Premio F Push 2009,Toyota,Premio,2009,Automatic,Saloon,"CNG, Octane",1500,57849 km,Rs 1755000
Toyota Allion A-15 2010,Toyota,Allion,2010,Automatic,Saloon,"CNG, Octane",1500,82000 km,Rs 1620000
Toyota Allion puhs start 2010,Toyota,Allion,2010,Automatic,Saloon,"CNG, Octane",1500,86000 km,Rs 1730000
Toyota Allion A 15 G+ 2010,Toyota,Allion,2010,Automatic,Saloon,"CNG, Octane",1500,62700 km,Rs 1720000
Toyota Allion A 15 G+ 2010,Toyota,Allion,2010,Automatic,Saloon,"CNG, Octane",1500,62300 km,Rs 1710000
Toyota Allion A 15 G+ 2010,Toyota,Allion,2010,Automatic,Saloon,"CNG, Octane",1500,62300 km,Rs 1715000
Toyota Allion A15 G+ 2010,Toyota,Allion,2010,Automatic,Saloon,"CNG, Octane",1500,55100 km,Rs 1750000
Toyota Allion A15 G+ 2010,Toyota,Allion,2010,Automatic,Saloon,"CNG, Octane",1500,55056 km,Rs 1745000
Toyota Allion A15 G+ 2010,Toyota,Allion,2010,Automatic,Saloon,"CNG, Octane",1500,55060 km,Rs 1745000
Toyota Allion 2004,Toyota,Allion,2010,Automatic,Saloon,"CNG, Octane",1500,82100 km,Rs 1120000
Toyota Axio X Limited 2010,Toyota,Axio,2010,Automatic,Saloon,"CNG, Octane",1500,75000 km,Rs 1180000
Toyota Axio -X 2010,Toyota,Axio,2010,Automatic,Saloon,"CNG, Octane",1500,75000 km,Rs 1125000
Toyota Axio Fielder 2010,Toyota,Axio,2010,Automatic,Saloon,"CNG, Octane",1500,88000 km,Rs 1200000
Toyota Axio G Ltd 2010,Toyota,Axio,2010,Automatic,Saloon,"CNG, Octane",1500,58000 km,Rs 1320000
Toyota Axio X 2010,Toyota,Axio,2010,Automatic,Saloon,"CNG, Octane",1500,68945 km,Rs 1295000
Toyota Axio G Push Start 2010,Toyota,Axio,2010,Automatic,Saloon,"CNG, Octane",1500,87428 km,Rs 1220000
Toyota Axio GOOD CAR G 2010,Toyota,Axio,2010,Automatic,Saloon,"CNG, Octane",1500,58000 km,Rs 1290000
Toyota Axio খুবই ভালো কন্ডিশন 2010,Toyota,Axio,2010,Automatic,Saloon,"CNG, Octane",1500,58000 km,Rs 1295000
Toyota Axio ফেমেলি ব্যবহারিত 2010,Toyota,Axio,2010,Automatic,Saloon,"CNG, Octane",1500,58000 km,Rs 1295000
Toyota Axio সাদা পাল 2010,Toyota,Axio,2010,Automatic,Saloon,"CNG, Octane",1500,58000 km,Rs 1295000
Toyota Axio 2008,Toyota,Axio,2010,Automatic,Saloon,"CNG, Octane",1500,89652 km,Rs 935000
Toyota Premio EX 2010,Toyota,Premio,2010,Automatic,Saloon,"CNG, Octane",1500,53000 km,Rs 1870000
Toyota Axio HID LTD 2011,Toyota,Axio,2011,Automatic,Saloon,"CNG, Octane",1500,75200 km,Rs 1215000
Toyota Axio -X-SILVER 2011,Toyota,Axio,2011,Automatic,Saloon,"CNG, Octane",1500,65000 km,Rs 1265000
Toyota Axio x 2011,Toyota,Axio,2011,Automatic,Saloon,"CNG, Octane",1500,113014 km,Rs 1255000
Toyota Corolla 2005,Toyota,Corolla,2011,Automatic,Saloon,"CNG, Octane",1500,86000 km,Rs 1025000
Toyota Premio G Superior 2011,Toyota,Premio,2011,Automatic,Saloon,"CNG, Octane",1500,47800 km,Rs 1885000
Toyota Premio G Superior 2011,Toyota,Premio,2011,Automatic,Saloon,"CNG, Octane",1500,47900 km,Rs 1890000
Toyota Premio fl push 2011,Toyota,Premio,2011,Automatic,Saloon,"CNG, Octane",1500,75000 km,Rs 1920000
Toyota Premio G Suprior 2011,Toyota,Premio,2011,Automatic,Saloon,"CNG, Octane",1500,46230 km,Rs 1875000
Toyota Premio CNG&Octane 2011,Toyota,Premio,2011,Automatic,Saloon,"CNG, Octane",1500,62000 km,Rs 1920000
Toyota Premio G Superior 2011,Toyota,Premio,2011,Automatic,Saloon,"CNG, Octane",1500,55000 km,Rs 1785000
Toyota Premio package G Superior 2011,Toyota,Premio,2011,Automatic,Saloon,"CNG, Octane",1500,62000 km,Rs 1950000
Toyota Probox 2004,Toyota,Probox,2011,Automatic,Saloon,"CNG, Octane",1500,100000 km,Rs 590000
Toyota Allion A15 G- Push Start 2012,Toyota,Allion,2012,Automatic,Saloon,"CNG, Octane",1500,62343 km,Rs 1750000
Toyota Allion A.15 2012,Toyota,Allion,2012,Automatic,Saloon,"CNG, Octane",1500,59000 km,Rs 1780000
Toyota Axio G 2012,Toyota,Axio,2012,Automatic,Saloon,"CNG, Octane",1500,98000 km,Rs 1330000
Toyota Premio F EX. package 2012,Toyota,Premio,2012,Automatic,Saloon,"CNG, Octane",1500,45360 km,Rs 2130000
Toyota Premio latest 2012,Toyota,Premio,2012,Automatic,Saloon,"CNG, Octane",1500,62000 km,Rs 2085000
Toyota Premio G - Superior 2012,Toyota,Premio,2012,Automatic,Saloon,"CNG, Octane",1500,57300 km,Rs 2050000
Toyota Premio G-Package 2012,Toyota,Premio,2012,Automatic,Saloon,"CNG, Octane",1500,77865 km,Rs 2020000
Toyota Premio FL-HID LIMITED. 2012,Toyota,Premio,2012,Automatic,Saloon,"CNG, Octane",1500,90440 km,Rs 2025000
Toyota Premio FL-HID Ltd. Pearl 2012,Toyota,Premio,2012,Automatic,Saloon,"CNG, Octane",1500,72421 km,Rs 2050000
Toyota Premio 2005,Toyota,Premio,2012,Automatic,Saloon,"CNG, Octane",1500,75000 km,Rs 1240000
Toyota Premio 2008,Toyota,Premio,2012,Automatic,Saloon,"CNG, Octane",1500,78952 km,Rs 1780000
Toyota Allion 2007,Toyota,Allion,2013,Automatic,Saloon,"CNG, Octane",1500,96000 km,Rs 1315000
Toyota Allion 2009,Toyota,Allion,2013,Automatic,Saloon,"CNG, Octane",1800,78542 km,Rs 1590000
Toyota Axio G NEW SHAPE KOK 2013,Toyota,Axio,2013,Automatic,Saloon,"CNG, Octane",1500,45300 km,Rs 1445000
Toyota Axio X 2013,Toyota,Axio,2013,Automatic,Saloon,"CNG, Octane",1500,62554 km,Rs 1565000
Toyota Axio X 2013,Toyota,Axio,2013,Automatic,Saloon,"CNG, Octane",1500,65308 km,Rs 1455000
Toyota Premio G Superior 2013,Toyota,Premio,2013,Automatic,Saloon,"CNG, Octane",1500,73000 km,Rs 1940000
Toyota Premio F EX G Suprior 2013,Toyota,Premio,2013,Automatic,Saloon,"CNG, Octane",1500,43200 km,Rs 2150000
Toyota Premio F Ex Pkg 2013,Toyota,Premio,2013,Automatic,Saloon,"CNG, Octane",1500,43500 km,Rs 2145000
Toyota Premio F Ex Pkg 2013,Toyota,Premio,2013,Automatic,Saloon,"CNG, Octane",1500,43500 km,Rs 2155000
Toyota Premio F EX G Suprior 2013,Toyota,Premio,2013,Automatic,Saloon,"CNG, Octane",1500,43080 km,Rs 2145000
Toyota Premio 2008,Toyota,Premio,2013,Automatic,Saloon,"CNG, Octane",1500,63000 km,Rs 1640000
Toyota Allion Allion-G- Push start 2014,Toyota,Allion,2014,Automatic,Saloon,"CNG, Octane",1500,62000 km,Rs 2140000
Toyota Allion G push loan 2014,Toyota,Allion,2014,Automatic,Saloon,"CNG, Octane",1500,61500 km,Rs 1290000
Toyota Allion 2009,Toyota,Allion,2014,Automatic,Saloon,"CNG, Octane",1500,78000 km,Rs 1550000
Toyota Axio X 2014,Toyota,Axio,2014,Automatic,Saloon,"CNG, Octane",1500,37800 km,Rs 1580000
Toyota Axio x silver loan 2014,Toyota,Axio,2014,Automatic,Saloon,"CNG, Octane",1500,42000 km,Rs 920000
Toyota Axio x white loan 2014,Toyota,Axio,2014,Automatic,Saloon,"CNG, Octane",1500,42000 km,Rs 920000
Toyota Axio 2010,Toyota,Axio,2014,Automatic,Saloon,"CNG, Octane",1500,79852 km,Rs 1130000
Toyota Axio 2009,Toyota,Axio,2014,Automatic,Saloon,"CNG, Octane",1500,160000 km,Rs 1109985
Toyota Axio 2010,Toyota,Axio,2014,Automatic,Saloon,"CNG, Octane",1500,58000 km,Rs 1190000
Toyota Premio FL package 2014,Toyota,Premio,2014,Automatic,Saloon,"CNG, Octane",1500,57842 km,Rs 2030000
Toyota Rush 2007,Toyota,Rush,2015,Automatic,Saloon,"CNG, Octane",1500,67000 km,Rs 1145000
Toyota Fielder 2011,Toyota,Fielder,2016,Automatic,Saloon,"CNG, Octane",1500,56000 km,Rs 1295000
Toyota Premio NEW SHAPE 2016,Toyota,Premio,2016,Automatic,Saloon,"CNG, Octane",1500,36980 km,Rs 2600000
Toyota Premio 2011,Toyota,Premio,2016,Automatic,Saloon,"CNG, Octane",1500,78542 km,Rs 1895000
Toyota Fielder 2012,Toyota,Fielder,2017,Automatic,Saloon,"CNG, Octane",1500,65000 km,Rs 1315000
Nissan Pathfinder New Shape 1992,Nissan,Pathfinder,1992,Automatic,SUV / 4x4,"CNG, Octane",2400,234000 km,Rs 260000
Suzuki Black 1993,Suzuki,Other Model,1993,Automatic,SUV / 4x4,"CNG, Octane",1600,72000 km,Rs 460000
Toyota Prado TX 1996,Toyota,Prado,1996,Automatic,SUV / 4x4,"CNG, Octane",3300,85000 km,Rs 1350000
Honda CR-V 1997,Honda,CR-V,1997,Automatic,SUV / 4x4,"CNG, Octane",2000,75000 km,Rs 750000
Mitsubishi V6 Sunroof 1997,Mitsubishi,V6,1997,Automatic,SUV / 4x4,"CNG, Octane",3500,148000 km,Rs 1295000
Toyota Cami Limited Edition 2001,Toyota,Cami,2001,Automatic,SUV / 4x4,"CNG, Octane",1300,70000 km,Rs 590000
Nissan Carryboy Double Cabin Pickup 2004,Nissan,Carryboy,2004,Manual,SUV / 4x4,"CNG, Octane",2400,150000 km,Rs 850000
Toyota Kluger Hardtop power seat 2004,Toyota,Kluger,2004,Automatic,SUV / 4x4,"CNG, Octane",2400,88000 km,Rs 1625000
Toyota Kluger L( Sunroof) 2004,Toyota,Kluger,2004,Automatic,SUV / 4x4,"CNG, Octane",2400,75000 km,Rs 1645000
Toyota RAV4 G Package 2005,Toyota,RAV4,2005,Automatic,SUV / 4x4,"CNG, Octane",2000,70000 km,Rs 1480000
Mazda CX-7 BLACK 2006,Mazda,CX-7,2006,Automatic,SUV / 4x4,"CNG, Octane",2260,75000 km,Rs 1695000
Toyota Noah KR42 2006,Toyota,Noah,2006,Automatic,SUV / 4x4,"CNG, Octane",1800,75000 km,Rs 1175000
Toyota Rush SUV push HID project 2008,Toyota,Rush,2008,Automatic,SUV / 4x4,"CNG, Octane",1500,65300 km,Rs 1045000
Toyota Avanza 2016,Toyota,Avanza,2017,Automatic,SUV / 4x4,"CNG, Octane",1500,13072 km,Rs 2390000
Toyota Hilux DOUBLE CABIN PICKUP 2006,Toyota,Hilux,2006,Manual,Convertible,Diesel,2500,81000 km,Rs 1699000
Toyota Estima Lucida 1995,Toyota,Estima,1995,Automatic,Estate,Diesel,2000,100000 km,Rs 370000
Mitsubishi Noah 1996,Mitsubishi,Other Model,1996,Manual,MPV,Diesel,2000,100000 km,Rs 200000
Mitsubishi l200 ডাবল কেবিন 1998,Mitsubishi,l200,1998,Manual,MPV,Diesel,2500,100000 km,Rs 580000
Toyota Hiace super fresh 2001,Toyota,Hiace,2001,Automatic,MPV,Diesel,2000,74452 km,Rs 795000
Toyota Hiace kds 2004,Toyota,Hiace,2004,Automatic,MPV,Diesel,2500,200000 km,Rs 1150000
Toyota Hiace Diesel 2005,Toyota,Hiace,2005,Manual,MPV,Diesel,2500,120000 km,Rs 1290000
Hyundai H1 . 2011,Hyundai,H1,2011,Automatic,MPV,Diesel,2400,55310 km,Rs 1750000
Hyundai H1 OriginalDiesel-Black 2012,Hyundai,H1,2012,Automatic,MPV,Diesel,2400,65432 km,Rs 1750000
Toyota Coaster 2013 Diesel 26 Seat,Toyota,Coaster,2013,Manual,MPV,Diesel,4200,52000 km,Rs 1750000
Tata Ambulance 2013,Tata,Other Model,2013,Manual,MPV,Diesel,2200,85000 km,Rs 370000
Toyota Hiace GL DIESEL AMBULANCE 2015,Toyota,Hiace,2015,Automatic,MPV,Diesel,3000,44000 km,Rs 1550000
Toyota Land Cruiser 1995,Toyota,Land Cruiser,1995,Automatic,null,Diesel,2400,77000 km,Rs 1200000
Toyota Land Cruiser 1993,Toyota,Land Cruiser,1993,Manual,null,Diesel,2400,71000 km,Rs 475000
Kia 1994,Kia,Other Model,1994,Manual,null,Diesel,2400,3085 km,Rs 125000
Mitsubishi Pajero 1991,Mitsubishi,Pajero,1991,Manual,null,Diesel,2500,92000 km,Rs 225000
Nissan Pathfinder 1993,Nissan,Pathfinder,1993,Manual,null,Diesel,2400,203162 km,Rs 380000
Daihatsu Rocky 1989,Daihatsu,Rocky,1989,Manual,null,Diesel,2600,61000 km,Rs 175000
Daihatsu Rocky 1992,Daihatsu,Rocky,1992,Manual,null,Diesel,2600,77000 km,Rs 235000
BMW 5 Series 520D 2009,BMW,5 Series,2009,Automatic,Saloon,Diesel,2000,38000 km,Rs 2750000
Tata Indigo Ecs লিঃ ২২ কিঃ রান করে 2013,Tata,Indigo Ecs,2013,Manual,Saloon,Diesel,1500,87521 km,Rs 450000
Tata Indigo Ecs famely use 2013,Tata,Indigo Ecs,2013,Manual,Saloon,Diesel,1500,79523 km,Rs 450000
Tata Indigo Ecs 1500 2013,Tata,Indigo Ecs,2013,Manual,Saloon,Diesel,1500,87523 km,Rs 450000
Kia  414 1987,Kia,Other Model,1987,Manual,SUV / 4x4,Diesel,2000,100000 km,Rs 360000
Mitsubishi Pajero 1992,Mitsubishi,Pajero,1993,Manual,SUV / 4x4,Diesel,2500,75000 km,Rs 555555
Toyota Hiace DESIL 3L 1999,Toyota,Hiace,1999,Manual,SUV / 4x4,Diesel,2700,8100 km,Rs 370000
Nissan Terrano 2001,Nissan,Terrano,2002,Manual,SUV / 4x4,Diesel,2700,81000 km,Rs 1190000
Mitsubishi Pajero Nativa Diesel S roof 2003,Mitsubishi,Pajero,2003,Automatic,SUV / 4x4,Diesel,2500,155000 km,Rs 1530000
Nissan Carryboy GREEN 2005,Nissan,Carryboy,2005,Automatic,SUV / 4x4,Diesel,2389,85000 km,Rs 895000
Toyota Hilux pickup 2005,Toyota,Hilux,2005,Manual,SUV / 4x4,Diesel,2779,85000 km,Rs 1390000
Tata 709 Turbo 2006,Tata,Other Model,2006,Manual,SUV / 4x4,Diesel,3700,64848 km,Rs 350000
Toyota Prado TX 2010,Toyota,Prado,2010,Automatic,SUV / 4x4,Diesel,3000,15010 km,Rs 7500000
